imagen,tecnica,ambe,psnr,contraste,entropia
41033.jpg,HE,31.453611051741905,16.238123656104506,73.42845880181996,7.213803
42049.jpg,HE,35.60081864754761,13.099651812384325,75.18435794380378,6.075463
43074.jpg,HE,60.46051515210395,10.576591259780292,73.44139567136432,6.743357
45096.jpg,HE,99.12665721076937,7.382493951609858,66.16525474526291,5.4125934
54082.jpg,HE,28.191242284700223,13.764554087269484,73.48289166959667,6.798439
58060.jpg,HE,74.09808226630656,10.026833348336574,70.3255575347454,6.4671335
62096.jpg,HE,9.73597321260874,17.828549509845814,73.54820642500721,6.4064894
69015.jpg,HE,67.50145400612689,10.581590518442775,72.75283853565233,6.888942
69040.jpg,HE,47.13668305257092,11.851381317633852,73.65794467513241,6.7799106
76053.jpg,HE,19.73215199383425,15.849346258166722,73.51059682508122,7.1081753
78004.jpg,HE,12.430567159539123,23.905582475055457,73.48430820043197,7.634666
8023.jpg,HE,14.305360716575665,14.787573190074015,73.39588971341928,6.7526126
86000.jpg,HE,33.22768634918167,14.13642736406256,73.36420032291906,6.967345
86016.jpg,HE,25.760241190147752,15.764201886143086,73.81839516174631,7.224084
89072.jpg,HE,18.08191656789789,19.00487208289134,73.31820033822025,7.377865
101085.jpg,CLAHE,23.020945460197808,16.766913445994355,65.59085054281867,7.895938
103070.jpg,CLAHE,17.35246533377375,18.943635716143877,52.05977236661338,7.6629195
108082.jpg,CLAHE,18.90343326791925,18.38340282360783,60.31269258728518,7.372201
109053.jpg,CLAHE,9.73940583286378,20.53523754681792,47.95995769007946,7.513535
119082.jpg,CLAHE,17.08135310004468,18.238490085681168,70.7977795681654,7.8824134
12084.jpg,CLAHE,14.0674736562587,19.873998607455977,50.04855661620088,7.5909786
126007.jpg,CLAHE,11.043600753881124,22.21163995817601,46.48519844640352,7.3525734
130026.jpg,CLAHE,9.52449789832967,20.340324631139563,63.24779197455141,7.6805415
14037.jpg,CLAHE,14.902966949695925,19.396481964124074,53.12382337721393,7.2534757
147091.jpg,CLAHE,11.896023989481932,20.143881340315968,60.0307248471247,7.8035645
148089.jpg,CLAHE,20.130206410580243,17.890839279950878,67.08662765488998,7.908861
156065.jpg,CLAHE,19.98551175186689,17.79650055322723,62.6724818764342,7.814294
157055.jpg,CLAHE,13.018749878562971,19.470610600373085,64.1944850651013,7.846143
16077.jpg,CLAHE,7.36687586220296,19.88906986573565,63.78857568208026,7.8456774
163085.jpg,CLAHE,25.544316422821083,17.075534652572262,50.35172028064161,7.621756
167062.jpg,CLAHE,10.56481499472153,23.381038234437824,104.85433829646531,5.7500043
167083.jpg,CLAHE,12.070932183081725,19.89200977795065,67.94393265672689,7.924151
170057.jpg,CLAHE,8.494239026949316,20.900691849844957,47.19536731894476,7.590353
175032.jpg,CLAHE,28.203878213224,16.0302347450455,64.73288589825195,7.9231215
189080.jpg,CLAHE,4.424666938685647,21.465221365328087,69.91708871658524,7.6850677
219090.jpg,CLAHE,12.631349537891596,20.91871775251064,53.83646322743405,7.672412
220075.jpg,CLAHE,14.978400398961142,19.379325402966757,59.49052484604288,7.7751727
229036.jpg,CLAHE,3.662256073471028,20.26428886281509,63.5971683770592,7.8415155
24077.jpg,CLAHE,1.1475702877572047,20.3757214892064,74.53559703137675,7.7508593
241004.jpg,CLAHE,6.602139882513711,22.5781995140584,70.1785207665422,7.333988
253027.jpg,CLAHE,9.029494627625468,20.739618830858063,53.85364372298834,7.701401
260058.jpg,CLAHE,7.718136540566434,22.10268632705818,40.45475946805237,7.280687
271035.jpg,CLAHE,3.413572450955627,20.227868269874524,63.535847852385984,7.8441544
285079.jpg,CLAHE,14.986437911671558,19.68851858481677,60.53213002535097,7.6809726
291000.jpg,CLAHE,13.02904773932812,18.543640176256176,64.29516839196742,7.9106855
295087.jpg,CLAHE,20.40155828006296,18.310953658011897,49.13055873898298,7.586981
296007.jpg,CLAHE,7.08556939398062,22.343962973292207,38.196924479797566,7.081899
300091.jpg,CLAHE,9.215827617696776,22.52721588000048,43.33863245325697,7.1843734
304034.jpg,CLAHE,21.866004753855208,17.12208403158667,64.24971839092142,7.91262
